original_locality,original_qds,latitude,longitude,precision,precby,correctedaddress,gmapslink,farm
"Oppie dam, Kempiana 90KU",2431AD,0,0,0,johaadienr,0,,0
"Oppy Dam, Kempiana 90KU",2431AD,0,0,0,johaadienr,0,,0
"Kruger National Park, Bobomene Veterinary Camp",2231AC,0,0,0,johaadienr,0,,0
"Kruger National Park, Olifants River below Olifants Trail Camp",2331DD,0,0,0,johaadienr,0,,0
Levuvhu River; 1.40km SW of Crooks Corner; Makuleke Region; KNP; Limpopo.,2231AD,-22.4289655,31.3028757,APPROXIMATE,johaadienr,"Luvuvhu River, Kruger National Park, Kruger National Park, South Africa","http://www.google.co.za/maps/place/-22.4289655,31.3028757",Distance from original qds: 0.5251143588217152
"Mhinga, Levuhi River",2030DD,0,0,0,johaadienr,0,,0
"LEVUBU RIVER, NEAR MHINGA VILLAGE",2230DD,0,0,0,johaadienr,0,,0
"Punda Maria, Ndabeni River",2231CA,0,0,0,johaadienr,0,,0
"Pafuri, Makuleka",2231AD,0,0,0,johaadienr,0,,0
Clearwaters,2329DD,-23.9404057,29.9729694,APPROXIMATE,johaadienr,"Clearwaters Cove, South Africa","http://www.google.co.za/maps/place/-23.9404057,29.9729694",Distance from original qds: 1.353156433650171
"Farm Crimea, 747",2229DC,0,0,FARMPRECISION,johaadienr,Closest match Rome with certainty of 67,,No farm found
Woodbush Forest,2329DD,-23.8324459,29.9884176,APPROXIMATE,johaadienr,"Woodbush Forest Reserve, South Africa","http://www.google.co.za/maps/place/-23.8324459,29.9884176",Distance from original qds: 1.2922598532867011
"Farm Oorwinning, 713",2229DD,0,0,FARMPRECISION,johaadienr,Closest match Innis with certainty of 72,,No farm found
"Farm Oorwining, 713",2229DD,-22.74829,29.6225,FARMPRECISION,johaadienr,Orion,"http://www.google.co.za/maps/place/-22.74829,29.6225",Farm matched is Orion with 50+ accuracy and same QDS
Grootbosch nr Helpmekaar Drift,2330CD,0,0,0,johaadienr,0,,0
Zandspruit,2729BD,0,0,0,johaadienr,0,,0
farm Botse Rach; 10km E of Vivo; Limpopo.,2329AB,0,0,FARMPRECISION,johaadienr,Closest match Bosch with certainty of 67,,No farm found
Farm Sterkrivier Nedersetting (SRNS) 253KR,2428BA,-24.14662,28.69181,FARMPRECISION,johaadienr,Sterkrivier,"http://www.google.co.za/maps/place/-24.14662,28.69181",Farm matched is Sterkrivier with 88+ accuracy
Farm Groothoek 278KQ,2427BC,-23.28724,29.31759,FARMPRECISION,johaadienr,Groothoek,"http://www.google.co.za/maps/place/-23.28724,29.31759",Farm matched is Groothoek with 88+ accuracy
Percy Fyfe Nature Reserve,2429AA,-24.0290731,29.1506941,APPROXIMATE,johaadienr,"Percy Fyfe Nature Reserve, South Africa","http://www.google.co.za/maps/place/-24.0290731,29.1506941",Distance from original qds: 0.15347298432760015
Farm Buffelshoek 277KR,2428BC,-24.97158,30.03886,FARMPRECISION,johaadienr,Buffelshoek,"http://www.google.co.za/maps/place/-24.97158,30.03886",Farm matched is Buffelshoek with 88+ accuracy
"Farm Ashton, 20 km W of Wyllies Poort",2229DC,-22.77065,28.77259,FARMPRECISION,johaadienr,Ashton                                                                                                                                                ,"http://www.google.co.za/maps/place/-22.77065,28.77259",Multiple farms found
Ceylon  Area,2430AA,0,0,0,johaadienr,0,,0
"Lajuma Lodge, Soutpansberg",2329AB,0,0,0,johaadienr,0,,0
"Farm Fancy, 24 28 20.7 S, 27 36 28.6 E",2427BC,-23.75784,27.59151,FARMPRECISION,johaadienr,Fancy,"http://www.google.co.za/maps/place/-23.75784,27.59151",Farm matched is Fancy with 88+ accuracy
Thabazimbi,2427CB,-24.6,27.4,APPROXIMATE,johaadienr,"Thabazimbi, South Africa","http://www.google.co.za/maps/place/-24.6,27.4",Distance from original qds: 0.7211102550927982
"Zandfontein, Pietersburg",2329CD,-23.8961708,29.4486263,APPROXIMATE,johaadienr,"Polokwane, South Africa","http://www.google.co.za/maps/place/-23.8961708,29.4486263",Distance from original qds: 1.0021914287322213
Lake Fundudzi,2230CD,-22.8515351,30.31039579999999,APPROXIMATE,johaadienr,"Lake Fundudzi, Thohoyandou, South Africa","http://www.google.co.za/maps/place/-22.8515351,30.31039579999999",Distance from original qds: 0.9063429699565413
Entabeni Forest Res,2230CC,-22.9858333,30.2688889,APPROXIMATE,johaadienr,"Entabeni Staatsbos, South Africa","http://www.google.co.za/maps/place/-22.9858333,30.2688889",Distance from original qds: 1.0218456517165884
Woodbush,2329DD,-23.875774,29.456168,GEOMETRIC_CENTER,johaadienr,"Woodbush Street, Polokwane, 0699, South Africa","http://www.google.co.za/maps/place/-23.875774,29.456168",Distance from original qds: 0.9874559956271476
"FARM HARTEBEESTFONTEIN (281), WATERBERG MTNS",2427BC,0,0,FARMPRECISION,johaadienr,,,"No farm found, no fuzzy matching as name is too common"
Percy Fyfe Nat Res,2429AA,-24.0290731,29.1506941,APPROXIMATE,johaadienr,"Percy Fyfe Nature Reserve, South Africa","http://www.google.co.za/maps/place/-24.0290731,29.1506941",Distance from original qds: 0.15347298432760015
Selati,2430BA,-24.05,30.6333333,APPROXIMATE,johaadienr,"Selati, South Africa","http://www.google.co.za/maps/place/-24.05,30.6333333",Distance from original qds: 0.6353039185215927
Louis Trichardt,2329BB,-23.0462413,29.9046562,APPROXIMATE,johaadienr,"Louis Trichardt, South Africa","http://www.google.co.za/maps/place/-23.0462413,29.9046562",Distance from original qds: 0.9058372359448097
"Farm Philipstown , 390",2229CD,0,0,FARMPRECISION,johaadienr,Closest match Mist with certainty of 67,,No farm found
Middelburg,2529CD,-25.77257,29.4681751,APPROXIMATE,johaadienr,"Middelburg, South Africa","http://www.google.co.za/maps/place/-25.77257,29.4681751",Distance from original qds: 0.9033561474634534
Tshamavudzi Peak,2230DA,0,0,0,johaadienr,0,,0
Hanglip; Eastern Soutpansberg,2229DD,-22.9960193,29.8836898,APPROXIMATE,johaadienr,"Hanglip, South Africa","http://www.google.co.za/maps/place/-22.9960193,29.8836898",Distance from original qds: 1.3315262327857191
Lajuma Mountain Retreat,2329AB,0,0,0,johaadienr,0,,0
"Venda, near Khaku",2230CC,0,0,0,johaadienr,0,,0
FARM SPITSKOP (1011) SUIKERBOSKOPPIE,2329DD,-23.04256,29.5111,FARMPRECISION,johaadienr,Spitskop,"http://www.google.co.za/maps/place/-23.04256,29.5111",Farm matched is Spitskop with 88+ accuracy
FARM HELDERFONTEIN (6KS),2429AA,0,0,FARMPRECISION,johaadienr,,,"No farm found, no fuzzy matching as name is too common"
Farm Peover,2229DC,-22.59108,29.76792,FARMPRECISION,johaadienr,Vera,"http://www.google.co.za/maps/place/-22.59108,29.76792",Farm matched is Vera with 50+ accuracy and same QDS
Farm Ladismit,2229DC,0,0,FARMPRECISION,johaadienr,Closest match Mist with certainty of 76,,No farm found
Farm Outlook,2229DD,0,0,FARMPRECISION,johaadienr,Closest match Boekenhoutsloof with certainty of 76,,No farm found
Langjan Nat Res,2229CC,-22.8423531,29.2437011,APPROXIMATE,johaadienr,"Langjan Nature Reserve, South Africa","http://www.google.co.za/maps/place/-22.8423531,29.2437011",Distance from original qds: 0.8768973550084527
"Farm  Auf  Der Haard, 445",2229CC,0,0,FARMPRECISION,johaadienr,Closest match Verbaard with certainty of 67,,No farm found
Punch Bowl Hotel,2229DD,0,0,0,johaadienr,0,,0
Pietersburg dist.,2329DD,-23.8961708,29.4486263,APPROXIMATE,johaadienr,"Polokwane, South Africa","http://www.google.co.za/maps/place/-23.8961708,29.4486263",Distance from original qds: 1.0021914287322213
Farm Diepgelegen 945,2329DD,-23.84331,29.97253,FARMPRECISION,johaadienr,Diepgelegen,"http://www.google.co.za/maps/place/-23.84331,29.97253",Farm matched is Diepgelegen with 88+ accuracy
Farm Mpohme 949,2329DD,0,0,FARMPRECISION,johaadienr,Closest match Moheme with certainty of 74,,No farm found
Farm Flynn 217,2429BB,0,0,FARMPRECISION,johaadienr,Closest match Lyon with certainty of 67,,No farm found
Matlalas location,2329CC,-23.7333329,29,APPROXIMATE,johaadienr,"Mataia's Location, South Africa","http://www.google.co.za/maps/place/-23.7333329,29",Distance from original qds: 0.7333329000000006
Farm Hartebeesfontein 281,2427BC,0,0,FARMPRECISION,johaadienr,,,"No farm found, no fuzzy matching as name is too common"
Farm Rhenosterpoort 402,2428CA,-24.64293,28.14986,FARMPRECISION,johaadienr,Rhenosterpoort,"http://www.google.co.za/maps/place/-24.64293,28.14986",Farm matched is Rhenosterpoort with 88+ accuracy
Hangklip,2428BA,-23.0056619,29.898875,APPROXIMATE,johaadienr,"Hangklip Forest Reserve, Louis Trichardt, South Africa","http://www.google.co.za/maps/place/-23.0056619,29.898875",Distance from original qds: 2.143463207693711
Farm Buffelshoek,2428BC,-24.00496,28.39935,FARMPRECISION,johaadienr,Buffelshoek                                                                                                                                           ,"http://www.google.co.za/maps/place/-24.00496,28.39935",Multiple farms found
Farm Zandspruit 287,2428BB,-24.44823,27.50907,FARMPRECISION,johaadienr,Zandspruit,"http://www.google.co.za/maps/place/-24.44823,27.50907",Farm matched is Zandspruit with 88+ accuracy
Farm Klipheuwel,2429CB,-24.88445,30.57256,FARMPRECISION,johaadienr,Klipheuwel                                                                                                                                            ,"http://www.google.co.za/maps/place/-24.88445,30.57256",Multiple farms found
Farm Oostenryk 92,2429AC,0,0,FARMPRECISION,johaadienr,Closest match Jooste with certainty of 74,,No farm found
Potosenyane,2429DB,-24.5972222,29.8175,APPROXIMATE,johaadienr,"Potosenyane, South Africa","http://www.google.co.za/maps/place/-24.5972222,29.8175",Distance from original qds: 1.012413258591984
Farm Sekwati,2429DA,0,0,FARMPRECISION,johaadienr,Closest match Masekwatse with certainty of 71,,No farm found
Maleshwane,2429DA,-24.5799134,29.6536969,APPROXIMATE,johaadienr,"Maleshwane, South Africa","http://www.google.co.za/maps/place/-24.5799134,29.6536969",Distance from original qds: 0.8738530703551762
Mhapatle,2429BD,0,0,0,johaadienr,0,,0
Farm New  Gate,2229DD,-22.97934,29.92822,FARMPRECISION,johaadienr,Newgate,"http://www.google.co.za/maps/place/-22.97934,29.92822",Farm matched is Newgate with 50+ accuracy and same QDS
Farm New Gate,2229DD,-22.97934,29.92822,FARMPRECISION,johaadienr,Newgate,"http://www.google.co.za/maps/place/-22.97934,29.92822",Farm matched is Newgate with 88+ accuracy
Mutshenzheni,2230CD,-22.7341214,30.6458749,APPROXIMATE,johaadienr,"Mutshenzheni, South Africa","http://www.google.co.za/maps/place/-22.7341214,30.6458749",Distance from original qds: 0.9777978402450928
Farm Paardevlei 201,2429BB,-24.05127,29.92026,FARMPRECISION,johaadienr,Paardevlei,"http://www.google.co.za/maps/place/-24.05127,29.92026",Farm matched is Paardevlei with 88+ accuracy
Farm Serala 5,2430AA,0,0,FARMPRECISION,johaadienr,Closest match Seralo with certainty of 71,,No farm found
Farm Acre 2,2430AA,0,0,FARMPRECISION,johaadienr,Closest match Dawn Acre with certainty of 85,,No farm found
"Farm Rhenosterpoort, 402",2428CA,-24.64293,28.14986,FARMPRECISION,johaadienr,Rhenosterpoort,"http://www.google.co.za/maps/place/-24.64293,28.14986",Farm matched is Rhenosterpoort with 88+ accuracy
Farm groothoek 278,2427BC,-23.28724,29.31759,FARMPRECISION,johaadienr,Groothoek,"http://www.google.co.za/maps/place/-23.28724,29.31759",Farm matched is Groothoek with 88+ accuracy
"Farm Wintersveld, 427",2229CC,-22.9025,29.22841,FARMPRECISION,johaadienr,Wintersveld,"http://www.google.co.za/maps/place/-22.9025,29.22841",Farm matched is Wintersveld with 88+ accuracy
"upon and in between rocks and leaf litter, caught while completely foraging under a patch of moss",2329AB,0,0,0,johaadienr,0,,0
upon rock,2329AB,0,0,0,johaadienr,0,,0
upon and in between rocks and leaf litter,2329AB,0,0,0,johaadienr,0,,0
in horizo,2329AB,0,0,0,johaadienr,0,,0
in vegetation,2329AB,0,0,0,johaadienr,0,,0
under Aloe in the second valley,2329AB,0,0,0,johaadienr,"Second Valley SA 5204, Australia",,0
vegetation in the second valley,2329AB,0,0,0,johaadienr,"Second Valley SA 5204, Australia",,0
bucket,2329AB,0,0,0,johaadienr,0,,0
in sedge,2329AB,0,0,0,johaadienr,0,,0
in sedges,2329AB,0,0,0,johaadienr,0,,0
on rock and in leaves,2329AB,0,0,0,johaadienr,0,,0
"foraging in leaves, in cracks",2329AB,0,0,0,johaadienr,0,,0
only on rock,2329AB,0,0,0,johaadienr,0,,0
"ground, l",2329AB,-23.8671909,29.424619,GEOMETRIC_CENTER,johaadienr,"Ground Avenue, Polokwane, South Africa","http://www.google.co.za/maps/place/-23.8671909,29.424619",Distance from original qds: 0.9655678910381243
foragign through vegetation,2329AB,0,0,0,johaadienr,0,,0
"foraging in leaves, on rocks, in cracks",2329AB,0,0,0,johaadienr,0,,0
on rock and in vegetation,2329AB,0,0,0,johaadienr,0,,0
on rock,2329AB,0,0,0,johaadienr,0,,0
mostly around one rock formation with a shrub on top --> shade,2329AB,0,0,0,johaadienr,0,,0
hiding in a tiny rock fissure like Platy for overnight shelter --> getting shady,2329AB,0,0,0,johaadienr,0,,0
"sunbasking on rock, after 5 min went down a dead branch into dense grass and herb layer, lot of loose stones, sunbasking on tree and foraging on tree (for 10 min), everything half shaded, at 11:00 into rock crack",2329AB,0,0,0,johaadienr,0,,0
"almost the whole time basking, sometimes ten minutes without even footage",2329AB,0,0,0,johaadienr,0,,0
together with Lygodactylus ocellatus soutp. Subad.,2329AB,0,0,0,johaadienr,0,,0
"under big rock in horizontal wide crack, two rocks upon each other",2329AB,0,0,0,johaadienr,0,,0
on rockwa,2329AB,0,0,0,johaadienr,0,,0
foraging,2329AB,0,0,0,johaadienr,0,,0
concrete,2329AB,0,0,0,johaadienr,0,,0
under sto,2329AB,0,0,0,johaadienr,0,,0
upon vert,2329AB,0,0,0,johaadienr,0,,0
in veg and on rock,2329AB,0,0,0,johaadienr,0,,0
"on Euphorbia, in veg, on rocks",2329AB,0,0,0,johaadienr,0,,0
Entabeni,2230CD,-22.9858333,30.2688889,APPROXIMATE,johaadienr,"Entabeni Staatsbos, South Africa","http://www.google.co.za/maps/place/-22.9858333,30.2688889",Distance from original qds: 1.0218456517165884
"Farm Peover, 1083",2229DC,0,0,FARMPRECISION,johaadienr,Closest match Dover with certainty of 72,,No farm found
Farm Groothoek,2427BC,-24.48061,27.58032,FARMPRECISION,johaadienr,Groothoek                                                                                                                                             ,"http://www.google.co.za/maps/place/-24.48061,27.58032",Multiple farms found
"Farm Lalamontes, 682",2429DC,0,0,FARMPRECISION,johaadienr,Closest match llala with certainty of 72,,No farm found
Farm Lalamontes,2429DC,0,0,FARMPRECISION,johaadienr,Closest match llala with certainty of 72,,No farm found
Farm Weltevreden,2429DC,-24.34246,28.44681,FARMPRECISION,johaadienr,Weltevreden                                                                                                                                           ,"http://www.google.co.za/maps/place/-24.34246,28.44681",Multiple farms found
"Punch Bowl Hotel, 4 miles W",2229DD,0,0,0,johaadienr,0,,0
Farm Makapansgat,2429AA,-24.148,29.16292,FARMPRECISION,johaadienr,Makapansgat                                                                                                                                           ,"http://www.google.co.za/maps/place/-24.148,29.16292",Farm matched exactly
Groenfontein Farm; Lephalale,2327CB,-23.59426,27.33605,FARMPRECISION,johaadienr,Groenfontein                                                                                                                                          ,"http://www.google.co.za/maps/place/-23.59426,27.33605",Multiple farms found
"30 Km N. of Louis Trichardt, on the Louis Trichardt / Messina road",2229DD,-23.028692,29.916591,GEOMETRIC_CENTER,johaadienr,"Messina Road, Louis Trichardt, 0920, South Africa","http://www.google.co.za/maps/place/-23.028692,29.916591",Distance from original qds: 1.3778048817394282
Waterpoort,2229DC,-22.90715,29.6189,APPROXIMATE,johaadienr,"Waterpoort, South Africa","http://www.google.co.za/maps/place/-22.90715,29.6189",Distance from original qds: 1.0981613417435538
Turfloop 5 KM from,2329DD,0,0,0,johaadienr,0,,0
NEAR WOODBUSH,2329DD,-23.875774,29.456168,GEOMETRIC_CENTER,johaadienr,"Woodbush Street, Polokwane, 0699, South Africa","http://www.google.co.za/maps/place/-23.875774,29.456168",Distance from original qds: 0.9874559956271476
Thabazimbi in mountains 20 km N of town,2427AD,0,0,FARMPRECISION,johaadienr,Closest match Rus in Vrede with certainty of 85,,No farm found
Turfloop,2329DD,-23.8852085,29.7599761,APPROXIMATE,johaadienr,"Turfloop, South Africa","http://www.google.co.za/maps/place/-23.8852085,29.7599761",Distance from original qds: 1.1666866593235137
Just N of Waterpoort,2229DC,-22.90715,29.6189,APPROXIMATE,johaadienr,"Waterpoort, South Africa","http://www.google.co.za/maps/place/-22.90715,29.6189",Distance from original qds: 1.0981613417435538
On Blyde river,2430BC,0,0,0,johaadienr,0,,0
Orpen camp,2431AD,0,0,0,johaadienr,0,,0
"Foothills of Iron Crown, 4.4 km S of Haenetsburg, at trap 24-4",2329DD,0,0,0,johaadienr,0,,0
"Wolkberg Wilderness Area, 14.4 km SE of Haenetsburg",2430AA,-24.0567041,30.0896313,APPROXIMATE,johaadienr,"Wolkberg (Serala) Wilderness Area, Haenertsburg, South Africa","http://www.google.co.za/maps/place/-24.0567041,30.0896313",Distance from original qds: 0.10606189182029628
Pietersburg,2329CD,-23.8961708,29.4486263,APPROXIMATE,johaadienr,"Polokwane, South Africa","http://www.google.co.za/maps/place/-23.8961708,29.4486263",Distance from original qds: 1.0021914287322213
Wolkberg Wildrness Area,2430AA,-24.0567041,30.0896313,APPROXIMATE,johaadienr,"Wolkberg (Serala) Wilderness Area, Haenertsburg, South Africa","http://www.google.co.za/maps/place/-24.0567041,30.0896313",Distance from original qds: 0.10606189182029628
Roodewal Nature Reserve near Elim,2330AA,-23.160009,30.0585795,APPROXIMATE,johaadienr,"Elim, South Africa","http://www.google.co.za/maps/place/-23.160009,30.0585795",Distance from original qds: 0.17039494681841258
"Farm on Witvlag Rd, Soutpansberg",2229DD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
Turfloop 13 KM NE,2329DD,0,0,FARMPRECISION,johaadienr,Closest match Sterkloop with certainty of 71,,No farm found
just S of Mopani on road from Musina to Louis Trichardt,2229DB,-23.0462413,29.9046562,APPROXIMATE,johaadienr,"Louis Trichardt, South Africa","http://www.google.co.za/maps/place/-23.0462413,29.9046562",Distance from original qds: 1.383120999053998
Farm Harnham,2229DD,-22.98482,29.87138,FARMPRECISION,johaadienr,Harnham                                                                                                                                               ,"http://www.google.co.za/maps/place/-22.98482,29.87138",Multiple farms found
Crewe,2229DC,-23.0038889,29.7066667,APPROXIMATE,johaadienr,"Crewe, Happy-Rest Nature Reserve, South Africa","http://www.google.co.za/maps/place/-23.0038889,29.7066667",Distance from original qds: 1.227668826855231
Vygeboompoort,2428CD,0,0,0,johaadienr,0,,0
"Farm Umzinto, 36 on Limpompo River",2228CB,-22.18896,29.87151,FARMPRECISION,johaadienr,River,"http://www.google.co.za/maps/place/-22.18896,29.87151",Farm matched is River with 88+ accuracy
Thabazimbi district,2527BC,-24.58463,27.40299,APPROXIMATE,johaadienr,"Department of Home Affairs - Thabazimbi District Office, Thabazimbi, 0387, South Africa","http://www.google.co.za/maps/place/-24.58463,27.40299",Distance from original qds: 0.5787341159807314
Ben Lavin Nat Res,2329BB,-23.13344,29.92969,APPROXIMATE,johaadienr,"Ben Lavin Nature Reserve, South Africa","http://www.google.co.za/maps/place/-23.13344,29.92969",Distance from original qds: 0.9392176157313072
Turfloop 8 KM  NE of,2329DD,0,0,0,johaadienr,0,,0
"Orpen gate, 15km W of",2431AD,-24.5761903,31.0578756,APPROXIMATE,johaadienr,"Orpen Gate, South Africa","http://www.google.co.za/maps/place/-24.5761903,31.0578756",Distance from original qds: 0.5790896708537032
Fleur de Lys 194KU,2431CA,-24.53524,31.02768,FARMPRECISION,johaadienr,Fleur de Lys                                                                                                                                          ,"http://www.google.co.za/maps/place/-24.53524,31.02768",Multiple farms found
"Soutpansberg, Goro game farm, Goro Lodge",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm Site 1b",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm Site 2a",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm Site 3a",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm Site 3b",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm Site 4",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm, waterfall S of camp",2329AB,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm Site 5",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm, 150m downstream of site 5",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
"Soutpansberg, Goro game farm Site 6",2229CD,-22.97642,29.29614,FARMPRECISION,johaadienr,Soutpan,"http://www.google.co.za/maps/place/-22.97642,29.29614",Farm matched is Soutpan with 88+ accuracy
Phalaborwa Mining Company,2431AA,-23.9424435,31.14092179999999,APPROXIMATE,johaadienr,"Phalaborwa, South Africa","http://www.google.co.za/maps/place/-23.9424435,31.14092179999999",Distance from original qds: 0.15222254894557286
"Kruger National Park, Pafuri Picnic Spot",2231AD,0,0,0,johaadienr,0,,0
"Kruger National Park, Crooks Corner, Pafuri",2231AD,-22.4313884,31.3059348,GEOMETRIC_CENTER,johaadienr,"Kruger National Park, Crooks Corner Road, Kruger National Park, South Africa","http://www.google.co.za/maps/place/-22.4313884,31.3059348",Distance from original qds: 0.5288592000765413
Southern African Wildlife College (Springvalley 200KU),2431CB,0,0,0,johaadienr,0,,0
Tshalungwa spring,2231CA,0,0,0,johaadienr,0,,0
300m W of Wild Dog Dam; Manyeletti GR,2431CB,0,0,0,johaadienr,0,,0
Great Letaba River,2329CD,-23.828691,30.21950399999999,APPROXIMATE,johaadienr,"Letaba River Lodge, Tzaneen, 0850, South Africa","http://www.google.co.za/maps/place/-23.828691,30.21950399999999",Distance from original qds: 1.4744215067262734
Metlepetsi river,2329BB,0,0,0,johaadienr,0,,0
"Clara Dam, Lillydale 89KU",2431AD,0,0,0,johaadienr,0,,0
"Hans Hoheison's House, Kempiana 90KU",2431AD,0,0,0,johaadienr,0,,0
"Kruger National Park, Lanner Gorge, Pafuri",2231AC,0,0,0,johaadienr,0,,0
Sandringham 197KU Gate,2431CA,-24.52674,31.23135,FARMPRECISION,johaadienr,Sandringham                                                                                                                                           ,"http://www.google.co.za/maps/place/-24.52674,31.23135",Farm matched exactly
Liverpool 202KT portion 10,2430BD,-24.33236,30.74832,FARMPRECISION,johaadienr,Liverpool                                                                                                                                             ,"http://www.google.co.za/maps/place/-24.33236,30.74832",Multiple farms found
Broederstroom,2329DD,-23.7861111,30.1955556,APPROXIMATE,johaadienr,"Ga-Mapiti, South Africa","http://www.google.co.za/maps/place/-23.7861111,30.1955556",Distance from original qds: 1.4308472504899208
"Farm Andover, Manyeleti Nat Res",2431CA,-23.08237,30.18217,FARMPRECISION,johaadienr,Dover,"http://www.google.co.za/maps/place/-23.08237,30.18217",Farm matched is Dover with 88+ accuracy
"Manyeleti Nat Res, Main Camp",2431CB,0,0,0,johaadienr,0,,0
Okkerneut Boom 211,2431CA,0,0,FARMPRECISION,johaadienr,Closest match Oude Boom with certainty of 85,,No farm found
Mokeetsi,2330CA,-23.5927799,30.09833,APPROXIMATE,johaadienr,"Mooketsi, South Africa","http://www.google.co.za/maps/place/-23.5927799,30.09833",Distance from original qds: 0.6008800202569645
"FARM ALBATROS, MANYELETI G.R.",2431CB,0,0,FARMPRECISION,johaadienr,Closest match Manuel with certainty of 74,,No farm found
"HERMITAGE, MANYELETI G.R., GAZANKULU",2431CB,0,0,0,johaadienr,0,,0
"Farm Margate 216, Phalaborwa",2430BC,-22.64835,29.54387,FARMPRECISION,johaadienr,Margate,"http://www.google.co.za/maps/place/-22.64835,29.54387",Farm matched is Margate with 88+ accuracy
"Orpen Gate, Hans Hoheisen Wildlife Research Centre",2431AD,0,0,0,johaadienr,0,,0
